STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Total
ANDHRA PRADESH,ADILABAD,2001,50,30,16,149,34,175,0,454
ANDHRA PRADESH,ANANTAPUR,2001,23,30,7,118,24,154,0,356
ANDHRA PRADESH,CHITTOOR,2001,27,34,14,112,83,186,0,456
ANDHRA PRADESH,CUDDAPAH,2001,20,20,17,126,38,57,0,278
ANDHRA PRADESH,EAST GODAVARI,2001,23,26,12,109,58,247,0,475
ANDHRA PRADESH,GUNTAKAL RLY.,2001,0,0,0,1,0,0,0,1
ANDHRA PRADESH,GUNTUR,2001,54,51,7,139,129,378,0,758
ANDHRA PRADESH,HYDERABAD CITY,2001,37,39,24,118,27,746,0,991
ANDHRA PRADESH,KARIMNAGAR,2001,56,49,62,414,81,224,0,886
ANDHRA PRADESH,KHAMMAM,2001,47,30,17,180,336,172,0,782
ANDHRA PRADESH,KRISHNA,2001,37,21,10,208,72,265,0,613
ANDHRA PRADESH,KURNOOL,2001,29,47,13,141,107,92,0,429
ANDHRA PRADESH,MAHABOOBNAGAR,2001,59,27,14,176,41,69,0,386
ANDHRA PRADESH,MEDAK,2001,35,20,26,100,25,192,0,398
ANDHRA PRADESH,NALGONDA,2001,35,19,31,188,59,214,0,546
ANDHRA PRADESH,NELLORE,2001,46,80,10,207,228,287,0,858
ANDHRA PRADESH,NIZAMABAD,2001,21,21,19,55,15,228,0,359
ANDHRA PRADESH,PRAKASHAM,2001,19,12,5,140,100,119,0,395
ANDHRA PRADESH,RANGA REDDY,2001,72,83,37,113,55,421,7,788
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,0,0,1,0,1,0,0,2
ANDHRA PRADESH,SRIKAKULAM,2001,8,12,6,38,47,108,0,219
ANDHRA PRADESH,VIJAYAWADA,2001,25,48,2,84,122,520,0,801
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,1,0,0,1,1,0,0,3
ANDHRA PRADESH,VISAKHA RURAL,2001,12,12,3,67,48,99,0,241
ANDHRA PRADESH,VISAKHAPATNAM,2001,13,6,0,33,462,204,0,718
ANDHRA PRADESH,VIZIANAGARAM,2001,8,2,0,40,22,121,0,193
ANDHRA PRADESH,WARANGAL,2001,53,25,52,241,0,165,0,536
ANDHRA PRADESH,WEST GODAVARI,2001,61,21,15,246,56,348,0,747
ARUNACHAL PRADESH,CHANGLANG,2001,1,2,0,3,0,0,0,6
ARUNACHAL PRADESH,DIBANG VALLEY,2001,2,4,0,4,0,2,0,12
ARUNACHAL PRADESH,KAMENG EAST,2001,2,5,0,5,0,0,0,12
ARUNACHAL PRADESH,KAMENG WEST,2001,0,2,0,0,0,0,0,2
ARUNACHAL PRADESH,LOHIT,2001,2,6,0,8,0,0,0,16
ARUNACHAL PRADESH,PAPUM PARE,2001,9,5,0,6,0,3,0,23
ARUNACHAL PRADESH,SIANG EAST,2001,5,7,0,7,0,2,0,21
ARUNACHAL PRADESH,SIANG UPPER,2001,2,5,0,3,0,0,0,10
ARUNACHAL PRADESH,SIANG WEST,2001,4,10,0,25,2,2,0,43
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,2,5,0,4,0,0,0,11
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,2,1,0,8,0,2,0,13
ARUNACHAL PRADESH,TAWANG,2001,1,0,0,5,1,0,0,7
ARUNACHAL PRADESH,TIRAP,2001,1,3,0,0,0,0,0,4
ASSAM,BARPETA,2001,28,88,10,29,0,95,0,250
ASSAM,BONGAIGAON,2001,20,21,1,22,0,26,0,90
ASSAM,C.I.D.,2001,0,0,0,0,0,0,0,0
ASSAM,CACHAR,2001,45,74,7,80,0,216,0,422
ASSAM,DARRANG,2001,48,47,9,56,0,37,0,197
ASSAM,DHEMAJI,2001,42,20,0,26,0,0,0,88
ASSAM,DHUBRI,2001,43,51,5,49,0,111,0,259
ASSAM,DIBRUGARH,2001,35,37,3,41,0,19,0,135
ASSAM,G.R.P.,2001,1,0,0,0,0,0,0,1
ASSAM,GOALPARA,2001,35,35,1,54,0,64,0,189
ASSAM,GOLAGHAT,2001,30,40,0,23,0,26,0,119
ASSAM,GUWAHATI CITY,2001,37,64,5,67,0,98,0,271
