STATE/UT,DISTRICT,Year,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,Total,Latitude,Longitude
JHARKHAND,SAHEBGANJ,2001,20,5,3,23,0,21,0,72,24.9366799,87.68264098
JHARKHAND,SARAIKELA,2001,17,15,4,18,0,0,0,54,22.85591392,85.89614919
JHARKHAND,SIMDEGA,2001,17,12,1,0,0,0,0,30,22.60876039,84.59193692
KARNATAKA,BAGALKOT,2001,2,7,1,39,0,50,0,99,16.15860676,75.64526071
KARNATAKA,BANGALORE COMMR.,2001,40,56,40,223,51,229,0,639,,
KARNATAKA,BANGALORE RURAL,2001,13,10,30,90,0,123,0,266,12.93682709,77.47369315
KARNATAKA,BELGAUM,2001,8,12,4,62,0,125,0,211,16.16107219,74.72329042
KARNATAKA,BELLARY,2001,16,11,5,82,0,49,0,163,15.07437755,76.47228471
KARNATAKA,BIDAR,2001,7,10,2,90,3,51,0,163,17.95036173,77.19459962
KARNATAKA,BIJAPUR,2001,6,19,1,65,0,92,0,183,16.84015317,75.95909167
KARNATAKA,CHAMARAJNAGAR,2001,4,5,7,43,0,15,0,74,11.95248,77.0238496
KARNATAKA,CHICKMAGALUR,2001,8,7,4,57,8,83,0,167,13.42528829,75.67626502
KARNATAKA,CHITRADURGA,2001,18,0,2,48,0,35,0,103,14.2910222,76.57821957
KARNATAKA,DAKSHIN KANNADA,2001,3,6,1,24,0,25,0,59,12.89120455,74.96216278
KARNATAKA,DAVANAGERE,2001,22,13,8,84,5,77,0,209,14.33041459,75.91723841
KARNATAKA,DHARWAD COMMR.,2001,4,4,2,3,0,24,0,37,,
KARNATAKA,DHARWAD RURAL,2001,3,2,3,8,0,8,0,24,15.34383138,75.13831264
KARNATAKA,GADAG,2001,2,2,3,10,0,18,0,35,15.50712826,75.64861303
KARNATAKA,GULBARGA,2001,20,21,6,143,1,104,0,295,17.07045952,76.8750385
KARNATAKA,HASSAN,2001,20,0,4,75,1,68,0,168,12.94509875,76.1104955
KARNATAKA,HAVERI,2001,3,11,5,42,0,32,0,93,14.73758281,75.39612306
KARNATAKA,K.G.F.,2001,1,7,4,12,0,20,0,44,,
KARNATAKA,KODAGU,2001,4,4,4,22,0,14,0,48,12.39684468,75.79336596
KARNATAKA,KOLAR,2001,17,18,18,42,0,39,0,134,13.31279988,78.01376948
KARNATAKA,KOPPAL,2001,6,12,5,40,1,23,0,87,15.65125327,76.16170486
